temperature,rainfall,humidity,population,water_level,pH,turbidity,flow_rate,district,month,year,day_of_week,season,is_weekend,is_holiday,income_level,industrial_activity,tourism,pipe_age,leakage_rate,storage_capacity,forecast_rainfall,forecast_temperature,demand_lag_1m,demand_lag_3m,demand_lag_6m,demand
21.1,239.8,85.5,446848,97.0,7.07,1.81,21.4,Ilala,4,2009,2,Rainy,0,0,5,22,22,20,14.1,211121,230.4,20.2,838044,1395625,1476882,1568941
28.1,158.2,43.6,102589,172.2,7.95,3.35,27.4,Ilala,5,2009,4,Rainy,0,0,5,22,22,20,14.1,211121,163.1,27.5,1568941,1027518,1098499,379331
22.0,297.0,83.6,132468,22.5,6.91,3.25,29.6,Ilala,6,2009,0,Dry,0,0,5,22,22,20,14.1,211121,201.7,22.3,379331,838044,230056,383720
20.1,185.5,43.3,502349,58.0,6.99,3.77,31.8,Ilala,7,2009,2,Dry,0,0,5,22,22,20,14.1,211121,231.3,20.8,383720,1568941,1395625,2032366
28.3,263.0,54.2,353195,199.6,8.04,3.35,29.8,Ilala,8,2009,5,Dry,1,0,5,22,22,20,14.1,211121,183.0,28.0,2032366,379331,1027518,1425683
29.1,225.1,93.0,317368,130.9,7.92,4.9,41.7,Ilala,9,2009,1,Dry,0,0,5,22,22,20,14.1,211121,236.4,30.0,1425683,383720,838044,958596
25.0,106.2,76.0,344699,16.6,7.1,2.56,17.1,Ilala,10,2009,3,Dry,0,0,5,22,22,20,14.1,211121,155.2,26.2,958596,2032366,1568941,1172677
30.4,265.0,63.1,160870,40.7,6.69,4.62,81.0,Ilala,11,2009,6,Rainy,1,0,5,22,22,20,14.1,211121,230.8,29.3,1172677,1425683,379331,582268
22.2,25.3,45.2,154805,35.6,7.21,2.63,20.5,Ilala,12,2009,1,Short Rains,0,0,5,22,22,20,14.1,211121,34.5,22.3,582268,958596,383720,618720
29.0,192.5,69.8,216034,84.5,7.24,3.85,88.7,Ilala,1,2010,4,Hot,0,0,5,22,22,20,14.1,211121,276.0,29.4,618720,1172677,2032366,816823
21.1,236.8,87.3,143952,69.2,6.96,3.62,34.6,Ilala,2,2010,0,Hot,0,0,5,22,22,20,14.1,211121,296.1,21.9,816823,582268,1425683,504288
33.4,221.2,46.5,150453,178.4,6.51,3.65,44.8,Ilala,3,2010,0,Rainy,0,0,5,22,22,20,14.1,211121,297.6,32.3,504288,618720,958596,679804
25.1,211.4,61.4,90956,173.1,7.04,2.42,10.7,Ilala,4,2010,3,Rainy,0,0,5,22,22,20,14.1,211121,136.0,24.2,679804,816823,1172677,389961
26.7,93.5,74.3,341409,85.2,7.97,3.93,37.4,Ilala,5,2010,5,Rainy,1,0,5,22,22,20,14.1,211121,115.3,25.8,389961,504288,582268,1085042
26.1,150.7,87.9,453806,171.5,7.43,1.49,33.7,Ilala,6,2010,1,Dry,0,0,5,22,22,20,14.1,211121,137.8,24.9,1085042,679804,618720,1794133
28.2,52.2,79.6,167834,197.9,7.72,3.27,69.3,Ilala,7,2010,3,Dry,0,0,5,22,22,20,14.1,211121,57.6,28.4,1794133,389961,816823,627610
26.3,250.5,64.7,60654,47.5,7.46,2.57,70.1,Ilala,8,2010,6,Dry,1,0,5,22,22,20,14.1,211121,370.5,26.5,627610,1085042,504288,303221
29.1,115.2,77.7,439618,115.7,7.62,0.67,87.2,Ilala,9,2010,2,Dry,0,0,5,22,22,20,14.1,211121,78.2,27.9,303221,1794133,679804,1377957
32.4,59.7,58.2,404302,132.5,7.56,1.67,80.9,Ilala,10,2010,4,Dry,0,1,5,22,22,20,14.1,211121,67.3,32.7,1377957,627610,389961,1212528
22.8,156.3,87.4,198440,133.9,8.16,3.85,27.6,Ilala,11,2010,0,Rainy,0,0,5,22,22,20,14.1,211121,127.6,23.1,1212528,303221,1085042,656962
30.2,214.1,53.3,225710,65.4,6.73,4.83,91.1,Ilala,12,2010,2,Short Rains,0,0,5,22,22,20,14.1,211121,151.7,31.3,656962,1377957,1794133,892936
31.4,251.9,92.4,383675,85.2,7.06,2.16,46.3,Ilala,1,2011,5,Hot,1,0,5,22,22,20,14.1,211121,213.0,31.5,892936,1212528,627610,1152932
28.7,99.8,47.1,258621,74.7,6.88,4.39,58.0,Ilala,2,2011,1,Hot,0,0,5,22,22,20,14.1,211121,60.0,28.5,1152932,656962,303221,1177221
25.9,230.5,60.4,435852,53.6,7.39,4.06,13.9,Ilala,3,2011,1,Rainy,0,0,5,22,22,20,14.1,211121,146.3,25.9,1177221,892936,1377957,1707949
31.6,268.3,93.6,101285,140.9,7.75,4.53,27.7,Ilala,4,2011,4,Rainy,0,0,5,22,22,20,14.1,211121,182.4,30.6,1707949,1152932,1212528,463129
31.6,192.0,77.7,471056,154.0,8.09,0.76,22.3,Ilala,5,2011,6,Rainy,1,0,5,22,22,20,14.1,211121,273.5,32.9,463129,1177221,656962,1499260
25.4,71.4,94.0,243399,175.6,7.31,4.79,84.4,Ilala,6,2011,2,Dry,0,0,5,22,22,20,14.1,211121,57.6,24.6,1499260,1707949,892936,920144
31.7,2.8,69.6,206355,117.5,7.15,4.05,93.8,Ilala,7,2011,4,Dry,0,0,5,22,22,20,14.1,211121,3.1,32.7,920144,463129,1152932,1019786
31.2,91.9,45.7,64573,189.5,8.36,4.38,61.2,Ilala,8,2011,0,Dry,0,0,5,22,22,20,14.1,211121,103.4,30.8,1019786,1499260,1177221,330469
31.7,251.8,77.3,383851,119.0,6.86,3.11,71.4,Ilala,9,2011,3,Dry,0,0,5,22,22,20,14.1,211121,205.6,31.0,330469,920144,1707949,1394024
32.3,63.7,77.2,457990,171.6,6.82,3.76,80.5,Ilala,10,2011,5,Dry,1,0,5,22,22,20,14.1,211121,50.4,31.7,1394024,1019786,463129,1746840
31.7,74.9,55.9,332139,94.1,8.03,0.66,91.3,Ilala,11,2011,1,Rainy,0,1,5,22,22,20,14.1,211121,73.2,30.3,1746840,330469,1499260,1389667
23.5,187.0,65.7,158768,140.8,6.8,4.94,70.6,Ilala,12,2011,3,Short Rains,0,0,5,22,22,20,14.1,211121,181.8,24.6,1389667,1394024,920144,499994
24.5,82.2,93.7,431802,124.0,8.35,1.48,71.0,Ilala,1,2012,6,Hot,1,1,5,22,22,20,14.1,211121,77.6,24.0,499994,1746840,1019786,1653166
20.3,281.7,82.1,461050,158.5,7.86,1.39,26.7,Ilala,2,2012,2,Hot,0,0,5,22,22,20,14.1,211121,412.9,21.0,1653166,1389667,330469,1616809
26.9,140.4,46.7,458450,170.6,6.76,3.76,22.9,Ilala,3,2012,3,Rainy,0,0,5,22,22,20,14.1,211121,110.5,25.6,1616809,499994,1394024,1684272
29.8,155.3,75.5,129753,178.1,8.0,2.66,70.8,Ilala,4,2012,6,Rainy,1,0,5,22,22,20,14.1,211121,111.0,29.1,1684272,1653166,1746840,623897
33.1,158.4,52.4,509720,23.5,7.29,2.22,18.8,Ilala,5,2012,1,Rainy,0,0,5,22,22,20,14.1,211121,105.7,33.5,623897,1616809,1389667,1763186
24.7,17.5,43.2,211003,17.1,7.97,3.68,37.9,Ilala,6,2012,4,Dry,0,0,5,22,22,20,14.1,211121,24.1,25.3,1763186,1684272,499994,725800
29.3,266.1,90.9,448297,26.0,6.71,4.46,30.2,Ilala,7,2012,6,Dry,1,0,5,22,22,20,14.1,211121,352.6,28.8,725800,623897,1653166,1354704
22.6,123.2,58.7,149695,83.2,6.91,1.73,96.5,Ilala,8,2012,2,Dry,0,0,5,22,22,20,14.1,211121,138.2,23.6,1354704,1763186,1616809,648784
31.4,90.5,64.4,144734,92.5,6.79,0.59,95.6,Ilala,9,2012,5,Dry,1,0,5,22,22,20,14.1,211121,113.1,31.8,648784,725800,1684272,705166
20.8,45.8,77.5,393257,17.5,6.51,3.85,15.1,Ilala,10,2012,0,Dry,0,0,5,22,22,20,14.1,211121,43.2,21.6,705166,1354704,623897,1473289
25.6,238.6,41.0,170292,181.5,7.23,4.57,78.9,Ilala,11,2012,3,Rainy,0,0,5,22,22,20,14.1,211121,335.0,24.8,1473289,648784,1763186,693945
23.1,118.0,72.3,478879,94.7,8.33,2.64,42.5,Ilala,12,2012,5,Short Rains,1,0,5,22,22,20,14.1,211121,90.7,23.1,693945,705166,725800,1731519
31.6,253.9,61.7,353433,159.9,7.95,2.22,83.4,Ilala,1,2013,1,Hot,0,0,5,22,22,20,14.1,211121,342.9,30.1,1731519,1473289,1354704,1055105
33.2,71.8,78.9,401715,140.5,6.9,1.53,28.7,Ilala,2,2013,4,Hot,0,0,5,22,22,20,14.1,211121,82.2,33.3,1055105,693945,648784,1482665
34.8,12.1,45.6,415736,187.1,7.38,2.72,30.7,Ilala,3,2013,4,Rainy,0,0,5,22,22,20,14.1,211121,8.4,33.6,1482665,1731519,705166,1722713
32.9,234.6,88.1,215969,168.3,6.54,3.79,28.6,Ilala,4,2013,0,Rainy,0,0,5,22,22,20,14.1,211121,266.8,33.2,1722713,1055105,1473289,778311
31.4,213.8,50.6,89228,30.1,6.68,3.13,25.0,Ilala,5,2013,2,Rainy,0,0,5,22,22,20,14.1,211121,306.1,31.0,778311,1482665,693945,403259
24.6,285.0,63.3,418076,22.2,6.96,0.83,31.1,Ilala,6,2013,5,Dry,1,0,5,22,22,20,14.1,211121,385.9,25.7,403259,1722713,1731519,1445371
34.9,287.7,73.4,170181,170.9,7.59,2.8,84.1,Ilala,7,2013,0,Dry,0,1,5,22,22,20,14.1,211121,156.7,33.7,1445371,778311,1055105,551774
33.0,143.6,80.3,286630,51.8,6.7,3.37,30.4,Ilala,8,2013,3,Dry,0,1,5,22,22,20,14.1,211121,161.9,34.3,551774,403259,1482665,987042
27.9,183.1,45.9,502472,164.5,7.72,2.69,75.6,Ilala,9,2013,6,Dry,1,1,5,22,22,20,14.1,211121,151.6,27.9,987042,1445371,1722713,1657204
21.0,71.2,57.9,301484,180.5,7.29,1.25,75.5,Ilala,10,2013,1,Dry,0,0,5,22,22,20,14.1,211121,85.4,21.8,1657204,551774,778311,1299567
27.6,70.7,41.6,436660,124.5,8.15,2.07,22.2,Ilala,11,2013,4,Rainy,0,0,5,22,22,20,14.1,211121,73.6,28.1,1299567,987042,403259,1807911
29.8,181.1,44.7,292696,159.2,8.47,3.41,94.0,Ilala,12,2013,6,Short Rains,1,0,5,22,22,20,14.1,211121,94.6,31.1,1807911,1657204,1445371,972494
21.8,49.2,52.6,219765,102.9,7.11,4.38,42.8,Ilala,1,2014,2,Hot,0,0,5,22,22,20,14.1,211121,27.8,20.8,972494,1299567,551774,871377
23.2,156.9,94.2,201918,10.4,8.24,4.27,84.8,Ilala,2,2014,5,Hot,1,0,5,22,22,20,14.1,211121,213.0,22.9,871377,1807911,987042,895695
30.9,145.0,70.7,433953,32.1,6.83,3.13,12.5,Ilala,3,2014,5,Rainy,1,0,5,22,22,20,14.1,211121,208.0,31.8,895695,972494,1657204,1526820
25.1,13.8,81.3,114664,52.2,8.33,4.11,71.6,Ilala,4,2014,1,Rainy,0,0,5,22,22,20,14.1,211121,14.2,24.8,1526820,871377,1299567,508489
26.0,192.3,87.7,343375,16.9,8.12,0.77,15.9,Ilala,5,2014,3,Rainy,0,0,5,22,22,20,14.1,211121,107.9,26.9,508489,895695,1807911,1365345
22.6,125.1,80.1,395610,62.5,7.59,3.0,41.8,Ilala,6,2014,6,Dry,1,0,5,22,22,20,14.1,211121,124.1,21.6,1365345,1526820,972494,1280528
30.5,84.1,93.4,215600,28.4,6.76,0.55,58.2,Ilala,7,2014,1,Dry,0,0,5,22,22,20,14.1,211121,102.4,31.3,1280528,508489,871377,715783
28.6,21.3,50.6,230346,75.5,7.35,0.67,69.8,Ilala,8,2014,4,Dry,0,0,5,22,22,20,14.1,211121,31.6,29.0,715783,1365345,895695,851907
30.9,141.5,50.4,120728,65.4,7.34,2.09,83.0,Ilala,9,2014,0,Dry,0,0,5,22,22,20,14.1,211121,134.2,32.1,851907,1280528,1526820,455709
30.3,27.6,94.5,419881,84.7,6.8,2.49,100.0,Ilala,10,2014,2,Dry,0,0,5,22,22,20,14.1,211121,31.7,29.5,455709,715783,508489,1537430
23.1,217.8,70.0,357107,125.7,8.47,1.3,17.8,Ilala,11,2014,5,Rainy,1,0,5,22,22,20,14.1,211121,309.2,23.9,1537430,851907,1365345,1166832
25.0,50.3,71.2,295178,128.9,6.86,1.04,44.4,Ilala,12,2014,0,Short Rains,0,0,5,22,22,20,14.1,211121,59.9,24.6,1166832,455709,1280528,1256200
34.0,38.1,53.3,167799,142.4,7.76,2.81,29.7,Ilala,1,2015,3,Hot,0,0,5,22,22,20,14.1,211121,33.7,33.2,1256200,1537430,715783,824953
22.5,20.6,50.9,507766,184.0,6.73,4.13,12.4,Ilala,2,2015,6,Hot,1,0,5,22,22,20,14.1,211121,17.0,23.3,824953,1166832,851907,2191409
31.0,120.2,90.4,139155,61.3,7.67,4.59,83.9,Ilala,3,2015,6,Rainy,1,0,5,22,22,20,14.1,211121,131.6,30.2,2191409,1256200,455709,619275
31.1,220.9,68.0,253646,64.2,8.0,1.42,54.7,Ilala,4,2015,2,Rainy,0,0,5,22,22,20,14.1,211121,213.5,32.5,619275,824953,1537430,759585
34.8,191.8,59.7,382752,84.3,7.45,0.5,15.6,Ilala,5,2015,4,Rainy,0,0,5,22,22,20,14.1,211121,235.9,35.3,759585,2191409,1166832,1198616
31.8,82.8,76.7,380132,144.0,8.27,2.14,80.7,Ilala,6,2015,0,Dry,0,0,5,22,22,20,14.1,211121,97.0,31.6,1198616,619275,1256200,1611829
22.4,48.5,88.6,347434,75.9,7.5,2.33,29.3,Ilala,7,2015,2,Dry,0,0,5,22,22,20,14.1,211121,43.4,21.4,1611829,759585,824953,1137238
24.0,73.9,84.4,397403,128.7,6.87,4.85,73.6,Ilala,8,2015,5,Dry,1,0,5,22,22,20,14.1,211121,63.4,23.1,1137238,1198616,2191409,1581281
23.9,119.6,53.1,86152,81.6,6.79,1.52,23.4,Ilala,9,2015,1,Dry,0,0,5,22,22,20,14.1,211121,149.3,23.3,1581281,1611829,619275,411727
26.2,65.2,86.3,493065,198.3,7.26,1.05,84.2,Ilala,10,2015,3,Dry,0,0,5,22,22,20,14.1,211121,66.7,27.3,411727,1137238,759585,1989624
27.2,143.7,94.4,365299,121.0,6.99,1.4,99.5,Ilala,11,2015,6,Rainy,1,0,5,22,22,20,14.1,211121,200.1,26.3,1989624,1581281,1198616,1303720
21.9,179.1,91.8,170227,139.7,7.69,1.36,37.0,Ilala,12,2015,1,Short Rains,0,0,5,22,22,20,14.1,211121,96.9,21.6,1303720,411727,1611829,533236
29.1,188.7,68.8,137468,116.6,6.9,4.59,37.3,Ilala,1,2016,4,Hot,0,0,5,22,22,20,14.1,211121,152.0,29.1,533236,1989624,1137238,469217
33.4,136.9,48.5,448662,153.9,6.52,1.06,86.0,Ilala,2,2016,0,Hot,0,1,5,22,22,20,14.1,211121,109.6,32.3,469217,1303720,1581281,1755708
29.4,262.2,65.0,336051,197.6,8.04,0.55,72.3,Ilala,3,2016,1,Rainy,0,0,5,22,22,20,14.1,211121,375.7,28.9,1755708,533236,411727,1307690
20.3,154.1,82.4,116448,32.7,8.27,4.26,65.9,Ilala,4,2016,4,Rainy,0,0,5,22,22,20,14.1,211121,104.4,19.9,1307690,469217,1989624,473930
22.6,33.0,71.0,277169,184.1,6.55,3.05,81.5,Ilala,5,2016,6,Rainy,1,0,5,22,22,20,14.1,211121,17.6,23.7,473930,1755708,1303720,1222533
20.4,141.3,73.5,232248,74.2,8.0,0.7,42.4,Ilala,6,2016,2,Dry,0,0,5,22,22,20,14.1,211121,159.5,20.7,1222533,1307690,533236,849341
30.8,222.5,81.5,358272,197.8,7.76,4.38,38.2,Ilala,7,2016,4,Dry,0,0,5,22,22,20,14.1,211121,174.2,30.7,849341,473930,469217,1324594
27.6,98.4,55.8,107472,128.6,6.51,3.98,45.6,Ilala,8,2016,0,Dry,0,0,5,22,22,20,14.1,211121,137.3,27.4,1324594,1222533,1755708,483713
26.7,66.6,74.5,499093,158.1,7.76,1.41,21.9,Ilala,9,2016,3,Dry,0,0,5,22,22,20,14.1,211121,92.4,26.3,483713,849341,1307690,1613674
23.9,70.3,79.5,206177,188.4,7.87,4.01,76.2,Ilala,10,2016,5,Dry,1,0,5,22,22,20,14.1,211121,102.1,24.9,1613674,1324594,473930,921191
29.3,288.4,77.9,103663,89.6,7.86,0.81,54.5,Ilala,11,2016,1,Rainy,0,0,5,22,22,20,14.1,211121,158.3,28.8,921191,483713,1222533,331692
28.5,293.0,83.2,316126,69.1,8.42,2.14,28.7,Ilala,12,2016,3,Short Rains,0,0,5,22,22,20,14.1,211121,337.4,28.3,331692,1613674,849341,1266334
31.7,179.9,59.8,415611,79.1,8.09,1.84,74.9,Ilala,1,2017,6,Hot,1,0,5,22,22,20,14.1,211121,172.0,31.0,1266334,921191,1324594,1748669
20.5,280.3,74.2,285864,39.5,7.66,3.62,55.2,Ilala,2,2017,2,Hot,0,0,5,22,22,20,14.1,211121,176.0,19.8,1748669,331692,483713,1009857
28.2,180.9,80.2,370269,164.7,7.69,4.83,94.4,Ilala,3,2017,2,Rainy,0,0,5,22,22,20,14.1,211121,175.1,28.9,1009857,1266334,1613674,1192896
33.0,98.8,89.9,198049,18.9,6.5,1.43,80.6,Ilala,4,2017,5,Rainy,1,0,5,22,22,20,14.1,211121,55.9,31.5,1192896,1748669,921191,796874
23.9,7.9,81.6,444144,71.8,7.71,3.04,94.1,Ilala,5,2017,0,Rainy,0,1,5,22,22,20,14.1,211121,9.4,22.8,796874,1009857,331692,1931239
31.3,169.7,85.5,261203,117.5,7.59,2.58,92.0,Ilala,6,2017,3,Dry,0,0,5,22,22,20,14.1,211121,121.3,31.9,1931239,1192896,1266334,867075
24.8,257.7,61.9,63909,50.0,7.85,2.06,59.1,Ilala,7,2017,5,Dry,1,0,5,22,22,20,14.1,211121,149.1,25.1,867075,796874,1748669,301420
31.1,144.6,60.1,210992,84.4,7.23,2.09,66.8,Ilala,8,2017,1,Dry,0,0,5,22,22,20,14.1,211121,92.9,32.4,301420,1931239,1009857,725348
32.9,64.6,61.2,140366,145.0,7.94,4.11,28.5,Ilala,9,2017,4,Dry,0,0,5,22,22,20,14.1,211121,62.3,32.2,725348,867075,1192896,631832
26.9,27.3,89.3,513300,10.9,8.37,4.26,63.2,Ilala,10,2017,6,Dry,1,0,5,22,22,20,14.1,211121,31.2,27.0,631832,301420,796874,2050543
